country,date,GDP per capita (constant 2010 US$)
Finland,1960,11420.6995620231
High income,1960,11509.0284801429
Belgium,1960,11729.5880509191
Austria,1960,12046.3056533488
Netherlands,1960,14271.1296304764
United Kingdom,1960,14914.88076112
Sweden,1960,16525.3610487407
Denmark,1960,18107.3759290293
North America,1960,18762.3690621246
Norway,1960,19134.0598784469
United States,1960,19135.2681815327
Australia,1960,19953.2063391233
"Bahamas, The",1960,20100.7105233133
Luxembourg,1960,25509.921300621
Bermuda,1960,37935.8868022598
