date,Australia,Burundi,Brazil,China,Congo Dem Rep,Denmark,India,Korea Rep,Lesotho,Luxembourg,Malawi,Niger,Norway,United States
1965,3.92418569443652,1.67962127499932,-0.435883258059846,14.1978890101766,-1.71251511918776,3.74368486786547,-4.64015621612809,4.62462244532431,0.0995199939554823,-1.85784159538052,10.8107502865801,3.87900520213991,4.47036790459714,5.07809761043293
1970,5.08488123486703,19.05331000693,7.65296946540528,16.0503992924726,-2.9928618053292,0.836281145615956,2.86436148492177,7.67505252851426,-0.108812227747663,10.5471217303264,-2.11794681936097,0.206271424407149,1.20535000670894,-1.50087648707766
1975,0.0956650322482062,-0.783647373789094,2.70461489791339,6.81644050919941,-7.55983482963627,-1.740305630023,6.64490516515872,6.04123505931034,-15.7606810832863,-7.58647710504614,3.13708574950282,-5.49561142547404,4.37452392142141,-1.18458141140461
1980,1.78708039101825,-1.5853324841851,6.65253708195542,6.49011265514277,-0.500830253826635,-0.603929077550063,4.29898229110574,-3.16662052167507,-5.47233560436098,0.482546852017762,-2.40362801509329,-5.22774642988331,4.22929886542049,-1.20929826622886
1985,3.82274903959301,8.73059851655911,5.54547922272781,11.8965617103967,-2.0926934639494,3.96161086965421,2.90238163725327,6.78232933952742,0.159717031838341,2.59324431773756,0.202155748264317,4.65473089305972,5.23772958187428,3.25065641495195
1990,2.05192904909737,0.990041951944136,-6.06711785432853,2.40655857199583,-9.66521335605891,1.31052516322782,3.36507256189454,8.80042947047626,3.73050159999575,4.00981020850895,1.99560930934449,-4.33749188951499,1.58222091643037,0.741486100606451
1995,2.58704322529762,-9.27465956523915,2.55952338703105,9.75495489020201,-2.50502615217924,2.49224816939837,5.52988134918675,8.51715304454162,1.26303704524476,0.0172999218450087,15.5582233461188,-1.0187792393037,3.61619462294883,1.46871823682066
2000,2.68086499604787,-2.59355929289052,2.91182643514742,7.63859767603294,-9.25508841830465,3.40068454610739,2.02108859495532,8.15268965958531,3.20752158630586,5.51040939515839,-1.10643236514245,-4.71007193702468,2.53730175628031,2.97520862932463
2005,1.80778402361102,-2.29446149376258,2.02630422889041,10.7413751264029,2.80880755484034,2.05511051582938,6.23194973457434,4.08764514661904,3.97606289718621,0.926765760747131,0.61777785633825,3.40427673531553,1.9288407476117,2.5635024091702
2010,0.595353727107323,1.75624461627567,6.52437005565609,10.1028326227139,3.59883860972532,1.41948663073603,7.0423476699315,6.27401988865388,4.97932147229949,1.88354730979161,3.84969815821488,4.48344918382702,-0.544794329896789,1.71640025696944
